曲名,譜面,ジャンル,NEW,NEW+,,曲名,譜面,ジャンル,NEW,NEW+,,曲名,譜面,ジャンル,NEW,NEW+,,曲名,譜面,ジャンル,NEW,NEW+
業 -善なる神とこの世の悪について-,MAS,ORIGINAL,15.4,15.4,,Finite,MAS,VARIETY,14.9,14.9,,神威 (NAOKI × ZPP MIX),MAS,ORIGINAL,14.8,14.8,,紅,MAS,POPS & ANIME,14.6,14.6
The Metaverse -First story of the SeelischTact-,MAS,ORIGINAL,15.4,15.4,,神威,MAS,VARIETY,14.9,14.9,,エンドマークに希望と涙を添えて,MAS,ORIGINAL,14.8,14.8,,Imperishable Night 2006 (2016 Refine),MAS,東方Project,14.6,14.6
祈 -我ら神祖と共に歩む者なり-,MAS,ORIGINAL,15.4,15.4,,A Site De La Rue,MAS,VARIETY,14.9,14.9,,宛城、炎上！！,MAS,ORIGINAL,14.8,14.8,,極圏,MAS,VARIETY,14.6,14.6
,,,,,,]-[|/34<#!,MAS,VARIETY,14.9,14.9,,Kattobi KEIKYU Rider,MAS,ORIGINAL,14.8,14.8,,Scarlet Lance,MAS,VARIETY,14.6,14.6
"ピアノ協奏曲第1番""蠍火""",MAS,VARIETY,15.3,15.3,,HAELEQUIN (Original Remaster),MAS,VARIETY,14.9,14.9,,Iudicium,MAS,ORIGINAL,14.8,14.8,,G e n g a o z o,MAS,VARIETY,14.6,14.6
混沌を越えし我らが神聖なる調律主を讃えよ,MAS,ORIGINAL,15.3,15.3,,★LittlE HearTs★,MAS,VARIETY,14.9,14.9,,Gate of Doom,MAS,ORIGINAL,14.8,14.8,,Nhelv,MAS,VARIETY,14.6,14.6
World Vanquisher,MAS,ORIGINAL,15.3,15.3,,Dengeki Tube,MAS,VARIETY,14.9,14.9,,夕焼けのRed Parade,MAS,ORIGINAL,14.8,14.8,,PUPA,MAS,VARIETY,14.6,14.6
,,,,,,End Time,MAS,VARIETY,14.9,14.9,,Climax,MAS,ORIGINAL,14.8,14.8,,AXION,MAS,VARIETY,14.6,14.6
macrocosmos,MAS,ORIGINAL,15.2,15.2,,Giselle,MAS,VARIETY,14.9,14.9,,電光石火,MAS,ORIGINAL,14.8,14.8,,larva,MAS,ゲキマイ,14.6,14.6
Rebellion,MAS,ORIGINAL,15.2,15.2,,Love & Justice,MAS,VARIETY,14.9,14.9,,8-EM,MAS,ORIGINAL,14.8,14.8,,GOLDEN RULE,MAS,ORIGINAL,14.6,14.6
Strange Love,MAS,ORIGINAL,15.2,15.2,,アポカリプスに反逆の焔を焚べろ,MAS,ゲキマイ,14.9,14.9,,Surrogate Life,MAS,ORIGINAL,14.8,14.8,,Sparking Revolver,MAS,ORIGINAL,14.6,14.6
,,,,,,YURUSHITE,MAS,ゲキマイ,14.9,14.9,,Megameteor,MAS,ORIGINAL,14.8,14.8,,folern,MAS,ORIGINAL,14.6,14.6
POTENTIAL,MAS,ORIGINAL,15.1,15.1,,Viyella's Tears,MAS,ゲキマイ,14.9,14.9,,Hainuwele,MAS,ORIGINAL,14.8,14.8,,Walzer für das Nichts,MAS,ORIGINAL,14.6,14.6
怒槌,MAS,ORIGINAL,15.1,15.1,,脳天直撃,MAS,ゲキマイ,14.9,14.9,,Elemental Ethnic,MAS,ORIGINAL,14.8,14.8,,B100d Hunter,MAS,ORIGINAL,14.6,14.6
玩具狂奏曲 -終焉-,MAS,ORIGINAL,15.1,15.1,,Xevel,MAS,ORIGINAL,14.9,14.9,,Excalibur ～Revived resolution～,MAS,ゲキマイ,14.7,14.8,,《本能》 ～ ReCoda,MAS,ORIGINAL,14.6,14.6
宿星審判,MAS,ORIGINAL,15.1,15.1,,赤壁、大炎上！！,MAS,ORIGINAL,14.9,14.9,,Trackless wilderness,MAS,ORIGINAL,14.7,14.8,,[CRYSTAL_ACCESS],MAS,ORIGINAL,14.6,14.6
Trrricksters!!,MAS,ORIGINAL,15.0,15.1,,Schrecklicher Aufstand,MAS,ORIGINAL,14.9,14.9,,We Gonna Journey,ULT,ORIGINAL,14.7,14.8,,《自戒》 ～ Paganelope,MAS,ORIGINAL,14.6,14.6
,,,,,,Devastating Blaster,MAS,ORIGINAL,14.9,14.9,,Titania,MAS,ゲキマイ,,14.8,,Evans,ULT,VARIETY,14.6,14.6
X7124,MAS,ORIGINAL,15.1,15.0,,Glorious Crown (tpz over-Over-OVERCUTE REMIX),MAS,ORIGINAL,14.9,14.9,,HERA,MAS,ゲキマイ,,14.8,,BLUE ZONE,MAS,VARIETY,14.4,14.6
雪男,MAS,ORIGINAL,15.1,15.0,,Surveiller et punir,MAS,ORIGINAL,14.9,14.9,,,,,,,,Aragami,MAS,VARIETY,14.5,14.6
蜘蛛の糸,MAS,ORIGINAL,15.1,15.0,,GIGA DRIVE,MAS,ORIGINAL,14.9,14.9,,初音ミクの激唱,MAS,niconico,14.7,14.7,,Parad'ox,MAS,ORIGINAL,14.4,14.6
ANU,MAS,ORIGINAL,15.0,15.0,,《破滅》 ～ Rhapsody for The End,MAS,ORIGINAL,14.9,14.9,,Calamity Fortune,MAS,東方Project,14.7,14.7,,8OROCHI,MAS,VARIETY,,14.6
TiamaT:F minor,MAS,ORIGINAL,15.0,15.0,,Blazing:Storm,MAS,ORIGINAL,14.9,14.9,,BUCHiGiRE Berserker,MAS,VARIETY,14.7,14.7,,竹,MAS,VARIETY,,14.6
Killing Rhythm,MAS,ORIGINAL,15.0,15.0,,Elemental Creation,ULT,VARIETY,14.9,14.9,,Crimson Phoenix,MAS,VARIETY,14.7,14.7,,,,,,
parvorbital,MAS,ORIGINAL,15.0,15.0,,小悪魔の遊園地,MAS,VARIETY,14.8,14.9,,Fracture Ray,MAS,VARIETY,14.7,14.7,,IMPACT,MAS,ORIGINAL,14.7,14.5
Contrapasso -inferno-,MAS,ORIGINAL,14.9,15.0,,A Man In The Mirror,MAS,ゲキマイ,,14.9,,Grievous Lady,MAS,VARIETY,14.7,14.7,,ジングルベル,MAS,POPS & ANIME,14.5,14.5
otorii INNOVATED -[i]3-,MAS,ORIGINAL,14.9,15.0,,Reverberate,MAS,ORIGINAL,,14.9,,Sound Chimera,MAS,VARIETY,14.7,14.7,,初音ミクの消失,MAS,niconico,14.5,14.5
ENDYMION,MAS,VARIETY,,15.0,,Scythe of Death,MAS,ORIGINAL,,14.9,,ouroboros -twin stroke of the end-,MAS,VARIETY,14.7,14.7,,妖々跋扈　～ Who done it！！！,MAS,東方Project,14.5,14.5
,,,,,,,,,,,,Vallista,MAS,VARIETY,14.7,14.7,,星の器～STAR OF ANDROMEDA,MAS,東方Project,14.5,14.5
"4/14(稼働日) レート理論値…17.3150
(Lv15が24曲、ベスト下限…14.9から6譜面)",,,,,,Wizdomiot,MAS,東方Project,14.9,14.8,,水晶世界 ～Fracture～,MAS,VARIETY,14.7,14.7,,Blue Noise,MAS,VARIETY,14.5,14.5
,,,,,,Lemegeton -little key of solomon-,MAS,VARIETY,14.8,14.8,,Tuk Tuk Boshi,MAS,VARIETY,14.7,14.7,,GERBERA,MAS,VARIETY,14.5,14.5
,,,,,,AttraqtiA,MAS,VARIETY,14.8,14.8,,VERTeX,MAS,ゲキマイ,14.7,14.7,,Air,MAS,VARIETY,14.5,14.5
"4/14(稼働日) OVERPOWER理論値…85785.00
(対象譜面…MAS 1039譜面 ULT 17譜面)",,,,,,SINister Evolution,MAS,VARIETY,14.8,14.8,,Alea jacta est!,MAS,ゲキマイ,14.7,14.7,,Dreadnought,MAS,VARIETY,14.5,14.5
,,,,,,Blackmagik Blazing,MAS,VARIETY,14.8,14.8,,Ai Nov,MAS,ゲキマイ,14.7,14.7,,Name of oath,MAS,VARIETY,14.5,14.5
,,,,,,BATTLE NO.1,MAS,VARIETY,14.8,14.8,,Everlasting Today,MAS,ゲキマイ,14.7,14.7,,Destr0yer,MAS,VARIETY,14.5,14.5
,,,,,,FREEDOM DiVE,MAS,VARIETY,14.8,14.8,,MEGATON BLAST,MAS,ゲキマイ,14.7,14.7,,管弦楽組曲 第3番 ニ長調「第2曲（G線上のアリア）」BWV.1068-2,MAS,イロドリミドリ,14.5,14.5
,,,,,,Angel dust,MAS,VARIETY,14.8,14.8,,Paqqin (tpz Despair Remix),MAS,ORIGINAL,14.7,14.7,,"Good bye, Merry-Go-Round.",MAS,ゲキマイ,14.5,14.5
,,,,,,Doppelganger,MAS,VARIETY,14.8,14.8,,L'épisode,MAS,ORIGINAL,14.7,14.7,,luna blu,MAS,ORIGINAL,14.5,14.5
,,,,,,Ascension to Heaven,MAS,VARIETY,14.8,14.8,,スピカの天秤,MAS,ORIGINAL,14.7,14.7,,閃鋼のブリューナク,MAS,ORIGINAL,14.5,14.5
,,,,,,MARENOL,MAS,VARIETY,14.8,14.8,,Last Celebration,MAS,ORIGINAL,14.7,14.7,,Genesis,MAS,ORIGINAL,14.5,14.5
,,,,,,真千年女王,MAS,VARIETY,14.8,14.8,,Yakumo >>JOINT STRUGGLE (2019 Update),MAS,東方Project,14.6,14.7,,Philosopher,MAS,ORIGINAL,14.5,14.5
,,,,,,Garakuta Doll Play,MAS,ゲキマイ,14.8,14.8,,Blessed Rain,MAS,ORIGINAL,14.6,14.7,,暗晦にハイライト,MAS,ORIGINAL,14.5,14.5
,,,,,,AMAZING MIGHTYYYY!!!!,MAS,ゲキマイ,14.8,14.8,,初音天地開闢神話,MAS,niconico,,14.7,,U ARE,MAS,ORIGINAL,14.5,14.5
