曲名,譜面,ジャンル,NEW,NEW+,,曲名,譜面,ジャンル,NEW,NEW+,,曲名,譜面,ジャンル,NEW,NEW+,,曲名,譜面,ジャンル,NEW,NEW+,,曲名,譜面,ジャンル,NEW,NEW+
Shiny Smily Story,MAS,POPS & ANIME,11.9,11.9,,夜に駆ける,MAS,POPS & ANIME,11.8,11.8,,Lost Princess,MAS,POPS & ANIME,11.7,11.7,,true my heart -Lovable mix-,MAS,POPS & ANIME,11.6,11.6,,乙女のルートはひとつじゃない！,MAS,POPS & ANIME,11.5,11.5
君のせい,MAS,POPS & ANIME,11.9,11.9,,Yes! Party Time!!,MAS,POPS & ANIME,11.8,11.8,,I believe what you said,MAS,POPS & ANIME,11.7,11.7,,幽霊東京,MAS,niconico,11.6,11.6,,町かどタンジェント,MAS,POPS & ANIME,11.5,11.5
ネ！コ！,MAS,POPS & ANIME,11.9,11.9,,Deep in Abyss,MAS,POPS & ANIME,11.8,11.8,,No.1,MAS,POPS & ANIME,11.7,11.7,,シャルル,MAS,niconico,11.6,11.6,,君色Everyday,MAS,POPS & ANIME,11.5,11.5
ヴァンパイア,MAS,niconico,11.9,11.9,,脳裏上のクラッカー,MAS,POPS & ANIME,11.8,11.8,,ALL FOR ONE★,MAS,POPS & ANIME,11.7,11.7,,フラジール,MAS,niconico,11.6,11.6,,ただ君に晴れ,MAS,POPS & ANIME,11.5,11.5
Jump for Joy,MAS,niconico,11.9,11.9,,だから僕は音楽を辞めた,MAS,POPS & ANIME,11.8,11.8,,アイドル活動！オンパレード！ver.,MAS,POPS & ANIME,11.7,11.7,,恋愛裁判,MAS,niconico,11.6,11.6,,Clover Heart's,MAS,POPS & ANIME,11.5,11.5
39,MAS,niconico,11.9,11.9,,euphoric field（English）,MAS,POPS & ANIME,11.8,11.8,,野良猫ハート,MAS,POPS & ANIME,11.7,11.7,,すろぉもぉしょん,MAS,niconico,11.6,11.6,,magnet,MAS,niconico,11.5,11.5
炉心融解,MAS,niconico,11.9,11.9,,紅蓮華,MAS,POPS & ANIME,11.8,11.8,,若い力 -SEGA HARD GIRLS MIX-,MAS,POPS & ANIME,11.7,11.7,,In The Blue Sky '01,MAS,VARIETY,11.6,11.6,,命ばっかり,MAS,niconico,11.5,11.5
ビバハピ,MAS,niconico,11.9,11.9,,grilletto,MAS,POPS & ANIME,11.8,11.8,,ラグトレイン,MAS,niconico,11.7,11.7,,オモイヨシノ,MAS,VARIETY,11.6,11.6,,DAYBREAK FRONTLINE,MAS,niconico,11.5,11.5
星屑ユートピア,MAS,niconico,11.9,11.9,,未来イマジネーション！,MAS,POPS & ANIME,11.8,11.8,,惑星ループ,MAS,niconico,11.7,11.7,,プリズム,MAS,イロドリミドリ,11.6,11.6,,だんだん早くなる,MAS,niconico,11.5,11.5
ネトゲ廃人シュプレヒコール,MAS,niconico,11.9,11.9,,Our Fighting,MAS,POPS & ANIME,11.8,11.8,,彗星ハネムーン,MAS,niconico,11.7,11.7,,オーケー？　オーライ！,MAS,イロドリミドリ,11.6,11.6,,みくみくにしてあげる♪【してやんよ】,MAS,niconico,11.5,11.5
ふぃーばー,MAS,東方Project,11.9,11.9,,乙女解剖,MAS,niconico,11.8,11.8,,妄想感傷代償連盟,MAS,niconico,11.7,11.7,,言ノ葉遊戯,MAS,ゲキマイ,11.6,11.6,,ユクエシレズ,MAS,niconico,11.5,11.5
7 days a week,MAS,東方Project,11.9,11.9,,METEOR,MAS,niconico,11.8,11.8,,フリィダム ロリィタ,MAS,niconico,11.7,11.7,,朝焼けプラットホーム,MAS,ORIGINAL,11.6,11.6,,華鳥風月,MAS,東方Project,11.5,11.5
ってゐ！　～えいえんてゐVer～,MAS,東方Project,11.9,11.9,,サヨナラチェーンソー,MAS,niconico,11.8,11.8,,バレリーコ,MAS,niconico,11.7,11.7,,,,,,,,泡沫、哀のまほろば,MAS,東方Project,11.5,11.5
レッツゴー!陰陽師,MAS,VARIETY,11.9,11.9,,アマツキツネ,MAS,niconico,11.8,11.8,,スイートマジック,MAS,niconico,11.7,11.7,,BlythE,EXP,VARIETY,11.6,11.6,,Starlight Dance Floor,MAS,東方Project,11.5,11.5
サヨナラフリーウェイ,MAS,イロドリミドリ,11.9,11.9,,リモコン,MAS,niconico,11.8,11.8,,Just Be Friends,MAS,niconico,11.7,11.7,,★LittlE HearTs★,EXP,VARIETY,11.6,11.6,,Bad Apple!! feat.nomico,MAS,東方Project,11.5,11.5
願い星,MAS,ORIGINAL,11.9,11.9,,ロミオとシンデレラ,MAS,niconico,11.8,11.8,,エレクトロサチュレイタ,MAS,niconico,11.7,11.7,,ZEUS,EXP,VARIETY,11.6,11.6,,Chocolate Happy,MAS,VARIETY,11.5,11.5
ロング・スロー・アライブ,MAS,ORIGINAL,11.9,11.9,,Tic Tac DREAMIN’,MAS,イロドリミドリ,11.8,11.8,,エイリアンエイリアン,MAS,niconico,11.7,11.7,,大天使ユリア★降臨!,EXP,ORIGINAL,11.6,11.6,,"Help me, あーりん！",MAS,イロドリミドリ,11.5,11.5
人生攻略☆Tips,MAS,ORIGINAL,11.5,11.9,,CYCLES,MAS,ゲキマイ,11.8,11.8,,有頂天ビバーチェ,MAS,niconico,11.7,11.7,,《狂乱》 ～ Cataclysm,EXP,ORIGINAL,11.6,11.6,,洗脳,MAS,ゲキマイ,11.5,11.5
,,,,,,Invitation,MAS,ORIGINAL,11.8,11.8,,アカツキアライヴァル,MAS,niconico,11.7,11.7,,UltraNeon,EXP,ORIGINAL,11.6,11.6,,どうぶつ☆パラダイス,MAS,ゲキマイ,11.5,11.5
REDRAVE,EXP,VARIETY,11.9,11.9,,ＧＯ！ＧＯ！ラブリズム♥,MAS,ORIGINAL,11.8,11.8,,からくりピエロ,MAS,niconico,11.7,11.7,,,,,,,,昵懇レファレンス,MAS,ORIGINAL,11.5,11.5
larva,EXP,ゲキマイ,11.9,11.9,,レイニーカラー・ウォーターカラー,MAS,ORIGINAL,11.8,11.8,,深海少女,MAS,niconico,11.7,11.7,,,,,,,,乗り切れ受験ウォーズ,MAS,ORIGINAL,11.5,11.5
The wheel to the right,EXP,ORIGINAL,11.9,11.9,,ギラギラ,MAS,POPS & ANIME,,11.8,,Hand in Hand,MAS,niconico,11.7,11.7,,,,,,,,Ring,MAS,ORIGINAL,11.5,11.5
Iudicium,EXP,ORIGINAL,11.9,11.9,,Give me Love♡,MAS,ORIGINAL,,11.8,,楽園ファンファーレ,MAS,niconico,11.7,11.7,,,,,,,,ちくわパフェだよ☆CKP,MAS,VARIETY,11.2,11.5
Trackless wilderness,EXP,ORIGINAL,11.9,11.9,,,,,,,,ストリーミングハート,MAS,niconico,11.7,11.7,,,,,,,,,,,,
《選別》 ～ Refuge,EXP,ORIGINAL,11.9,11.9,,Jack-the-Ripper◆,EXP,VARIETY,11.8,11.8,,幽闇に目醒めしは,MAS,東方Project,11.7,11.7,,,,,,,,Mr. Wonderland,EXP,niconico,11.5,11.5
,,,,,,Angel dust,EXP,VARIETY,11.8,11.8,,sweet little sister,MAS,東方Project,11.7,11.7,,,,,,,,疾走あんさんぶる,EXP,東方Project,11.5,11.5
,,,,,,volcanic,EXP,VARIETY,11.8,11.8,,Dreaming,MAS,東方Project,11.7,11.7,,,,,,,,Calamity Fortune,EXP,東方Project,11.5,11.5
,,,,,,NightTheater,EXP,VARIETY,11.8,11.8,,LINK LINK FEVER!!!,MAS,VARIETY,11.7,11.7,,,,,,,,Imperishable Night 2006 (2016 Refine),EXP,東方Project,11.5,11.5
,,,,,,エンドマークに希望と涙を添えて,EXP,ORIGINAL,11.8,11.8,,Ladymade Star,MAS,VARIETY,11.7,11.7,,,,,,,,Finite,EXP,VARIETY,11.5,11.5
,,,,,,C & B,EXP,ORIGINAL,11.8,11.8,,檄！帝国華撃団＜新章＞,MAS,VARIETY,11.7,11.7,,,,,,,,董卓討つべし,EXP,VARIETY,11.5,11.5
,,,,,,Breakthrough,EXP,ORIGINAL,,11.8,,アフタースクール・エモーション,MAS,イロドリミドリ,11.7,11.7,,,,,,,,DRAGONLADY,EXP,VARIETY,11.5,11.5
,,,,,,,,,,,,その群青が愛しかったようだった,MAS,ORIGINAL,11.7,11.7,,,,,,,,FREEDOM DiVE,EXP,VARIETY,11.5,11.5
,,,,,,,,,,,,ハルシナイト,MAS,ORIGINAL,11.4,11.7,,,,,,,,ミュージック・リボルバー,EXP,VARIETY,11.5,11.5
,,,,,,,,,,,,明け星,MAS,POPS & ANIME,,11.7,,,,,,,,Technicians High,EXP,ゲキマイ,11.5,11.5
,,,,,,,,,,,,,,,,,,,,,,,,The ether,EXP,ORIGINAL,11.5,11.5
,,,,,,,,,,,,サドマミホリック,EXP,東方Project,11.7,11.7,,,,,,,,GOLDEN RULE,EXP,ORIGINAL,11.5,11.5
,,,,,,,,,,,,Arcahv,EXP,VARIETY,11.7,11.7,,,,,,,,Sparking Revolver,EXP,ORIGINAL,11.5,11.5
,,,,,,,,,,,,極圏,EXP,VARIETY,11.7,11.7,,,,,,,,HERA,EXP,ゲキマイ,,11.5
,,,,,,,,,,,,GERBERA,EXP,VARIETY,11.7,11.7,,,,,,,,,,,,
,,,,,,,,,,,,PUPA,EXP,VARIETY,11.7,11.7,,,,,,,,,,,,
,,,,,,,,,,,,Supersonic Generation,EXP,ORIGINAL,11.7,11.7,,,,,,,,,,,,
